timestamp,open,high,low,close,volume
2025-01-10,110.0000,110.5400,107.6200,108.6500,8835518
2025-01-08,111.0000,111.1100,108.6400,109.7600,7805312
2025-01-07,112.1500,113.7400,111.2900,111.3900,7878807
2025-01-06,111.4700,112.8537,110.8700,111.0500,6274419
2025-01-03,111.3700,111.5350,110.1800,111.1600,5394318
2025-01-02,111.7000,112.2000,110.1700,110.8200,5688086
2024-12-31,110.7800,111.5900,110.6700,111.3500,4757538
2024-12-30,110.4250,111.5400,109.8300,110.8000,5716337
2024-12-27,111.8200,112.1200,110.8600,111.5500,4523820
2024-12-26,112.1200,113.3200,111.8600,112.5500,4782814
2024-12-24,111.2500,112.7400,111.1924,112.5600,2474994
2024-12-23,111.6100,111.8500,110.3100,111.4000,6037212 
2024-12-20,110.6100,112.9700,110.4300,112.0300,17955325
2024-12-19,111.6600,112.9100,111.2500,111.3700,9468516
2024-12-18,113.3400,116.1184,111.2400,111.3500,12292778
2024-12-17,111.0250,114.0400,110.8000,113.0200,12238619
2024-12-16,113.0000,113.0670,111.7300,112.1100,10528533
2024-12-13,114.3220,114.9600,113.3000,113.3400,6864475
2024-12-12,114.7000,115.0100,114.1600,114.9000,5285116
2024-12-11,114.6350,115.0500,113.9800,114.6100,6426831
2024-12-10,114.6500,114.9500,113.7200,114.7300,7526428
2024-12-09,116.3850,117.1800,113.9100,114.6100,8666121
2024-12-06,116.5500,117.2600,116.2200,116.7300,6677906
2024-12-05,116.5500,117.2700,116.0600,116.5000,9823556
2024-12-04,115.9700,117.2900,115.8400,116.9900,7996244
2024-12-03,117.0000,117.2300,115.4500,116.4500,9193973
2024-12-02,117.7800,118.6300,116.5500,117.1600,8390465
2024-11-29,117.2600,117.7400,116.7300,117.4700,5095150
2024-11-27,115.4450,118.1998,115.4450,117.6000,8142388
2024-11-26,116.0000,116.4200,115.4400,115.4500,6808149
2024-11-25,115.6800,116.5798,114.9320,116.0000,10397808
2024-11-22,113.8500,116.3400,113.6000,115.6500,10098038
2024-11-21,114.1500,116.2500,113.8343,114.7200,10260983
2024-11-20,112.2600,114.3700,111.4700,114.2600,9319270
2024-11-19,112.0500,112.5000,110.8200,112.4200,12166783
2024-11-18,113.3300,115.4350,112.8900,113.5400,14236555
2024-11-15,110.2500,115.1900,110.2500,115.0800,32048032
2024-11-14,110.3300,114.8100,108.4000,109.1200,47436052
2024-11-13,100.7850,103.2000,100.3500,102.7200,17701277
2024-11-12,100.5500,101.2900,99.5000,100.9900,9366216
2024-11-11,99.0000,100.9000,99.0000,100.8600,9137854
2024-11-08,98.7300,99.2600,97.6100,99.0200,7982113
2024-11-07,98.7800,99.5200,98.1300,98.9300,7805138
2024-11-06,98.2100,99.5500,98.2100,98.8900,11325086
2024-11-05,95.6000,96.6700,95.2500,96.6300,6561725
2024-11-04,95.8250,96.0188,95.0300,95.7900,6088036
2024-11-01,95.7000,96.3900,94.8300,95.8100,7944869
2024-10-31,95.2700,96.6300,95.0000,96.2000,8147709
2024-10-30,95.7000,96.7100,94.9400,95.0800,7718201
2024-10-29,96.2600,96.6200,95.6750,96.1300,6834439
2024-10-28,95.2200,96.6850,95.2100,96.2000,8146379
2024-10-25,95.8100,96.8536,95.0100,95.0300,6638148
2024-10-24,96.6000,96.8000,95.2515,95.4000,5015263
2024-10-23,96.9300,97.1378,95.9850,96.2400,5388501
2024-10-22,96.2000,97.2550,96.2000,96.7400,5344307
2024-10-21,97.2000,97.4500,95.9500,96.6200,8189949
2024-10-18,97.0100,97.5400,96.0500,97.2800,8609692
2024-10-17,96.9300,97.3300,95.6100,96.5400,9542501
2024-10-16,93.7300,96.7900,93.6300,96.7500,9936286
2024-10-15,95.2500,95.6500,93.6800,94.2200,6535756
