contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY240123P00402000,SPY,2024-01-23,402.00,put,0.01,0.01,0.00,0,0.01,1849,11,1753,2024-01-23,1.18901,-0.00116,0.00013,-0.05833,0.00098,-0.00002
SPY240123P00403000,SPY,2024-01-23,403.00,put,0.01,0.01,0.00,0,0.01,1848,1,241,2024-01-23,1.17453,-0.00118,0.00013,-0.05826,0.00099,-0.00002
SPY240123P00404000,SPY,2024-01-23,404.00,put,0.00,0.01,0.00,0,0.01,1606,0,0,2024-01-23,1.15990,-0.00119,0.00013,-0.05810,0.00100,-0.00002
SPY240123P00405000,SPY,2024-01-23,405.00,put,0.01,0.01,0.00,0,0.01,1606,0,17,2024-01-23,1.14541,-0.00121,0.00014,-0.05800,0.00101,-0.00002
SPY240123P00406000,SPY,2024-01-23,406.00,put,0.00,0.01,0.00,0,0.01,1606,0,0,2024-01-23,1.13093,-0.00122,0.00014,-0.05789,0.00103,-0.00002
SPY240123P00407000,SPY,2024-01-23,407.00,put,0.01,0.01,0.00,0,0.01,1792,0,14,2024-01-23,1.11660,-0.00124,0.00014,-0.05784,0.00104,-0.00002
SPY240123P00408000,SPY,2024-01-23,408.00,put,0.01,0.01,0.00,0,0.01,1606,0,255,2024-01-23,1.10212,-0.00125,0.00015,-0.05770,0.00105,-0.00002
SPY240123P00409000,SPY,2024-01-23,409.00,put,0.01,0.01,0.00,0,0.01,1848,0,319,2024-01-23,1.08779,-0.00127,0.00015,-0.05763,0.00106,-0.00002
SPY240123P00410000,SPY,2024-01-23,410.00,put,0.01,0.01,0.00,0,0.01,1606,0,1013,2024-01-23,1.07331,-0.00128,0.00016,-0.05747,0.00107,-0.00002
SPY240123P00411000,SPY,2024-01-23,411.00,put,0.02,0.01,0.00,0,0.01,1848,0,67,2024-01-23,1.05898,-0.00130,0.00016,-0.05737,0.00109,-0.00002
SPY240123P00412000,SPY,2024-01-23,412.00,put,0.02,0.01,0.00,0,0.01,1847,0,311,2024-01-23,1.04465,-0.00131,0.00016,-0.05726,0.00110,-0.00002
SPY240123P00413000,SPY,2024-01-23,413.00,put,0.03,0.01,0.00,0,0.01,1606,0,0,2024-01-23,1.03048,-0.00133,0.00017,-0.05721,0.00111,-0.00002
SPY240123P00414000,SPY,2024-01-23,414.00,put,0.03,0.01,0.00,0,0.01,1767,0,4,2024-01-23,1.01615,-0.00135,0.00017,-0.05708,0.00113,-0.00002
SPY240123P00415000,SPY,2024-01-23,415.00,put,0.02,0.01,0.00,0,0.01,1767,0,10,2024-01-23,1.00182,-0.00137,0.00018,-0.05692,0.00114,-0.00002
SPY240123P00416000,SPY,2024-01-23,416.00,put,0.01,0.01,0.00,0,0.01,1606,0,218,2024-01-23,0.98764,-0.00139,0.00018,-0.05684,0.00115,-0.00002
SPY240123P00417000,SPY,2024-01-23,417.00,put,0.00,0.01,0.00,0,0.01,1606,0,0,2024-01-23,0.97347,-0.00141,0.00019,-0.05675,0.00117,-0.00002
SPY240123P00418000,SPY,2024-01-23,418.00,put,0.07,0.01,0.00,0,0.01,1606,0,191,2024-01-23,0.95914,-0.00142,0.00019,-0.05656,0.00118,-0.00002
SPY240123P00419000,SPY,2024-01-23,419.00,put,0.00,0.01,0.00,0,0.01,1606,0,0,2024-01-23,0.94496,-0.00144,0.00020,-0.05644,0.00120,-0.00002
SPY240123P00420000,SPY,2024-01-23,420.00,put,0.01,0.01,0.00,0,0.01,1606,0,3,2024-01-23,0.93094,-0.00147,0.00020,-0.05640,0.00121,-0.00002
SPY240123P00421000,SPY,2024-01-23,421.00,put,0.05,0.01,0.00,0,0.01,1792,0,15,2024-01-23,0.91676,-0.00149,0.00021,-0.05625,0.00123,-0.00002
SPY240123P00422000,SPY,2024-01-23,422.00,put,0.02,0.01,0.00,0,0.01,1606,0,50,2024-01-23,0.90258,-0.00151,0.00021,-0.05609,0.00125,-0.00002
SPY240123P00423000,SPY,2024-01-23,423.00,put,0.01,0.01,0.00,0,0.01,1606,0,20,2024-01-23,0.88856,-0.00153,0.00022,-0.05602,0.00126,-0.00002
SPY240123P00424000,SPY,2024-01-23,424.00,put,0.01,0.01,0.00,0,0.01,1606,1,1,2024-01-23,0.87438,-0.00155,0.00023,-0.05583,0.00128,-0.00002
SPY240123P00425000,SPY,2024-01-23,425.00,put,0.04,0.01,0.00,0,0.01,1606,0,15,2024-01-23,0.86036,-0.00158,0.00023,-0.05573,0.00130,-0.00002
SPY240123P00426000,SPY,2024-01-23,426.00,put,0.05,0.01,0.00,0,0.01,1606,0,1,2024-01-23,0.84634,-0.00160,0.00024,-0.05561,0.00132,-0.00002
SPY240123P00427000,SPY,2024-01-23,427.00,put,0.02,0.01,0.00,0,0.01,1658,0,2,2024-01-23,0.83231,-0.00163,0.00025,-0.05548,0.00134,-0.00002
