contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY240627P00461000,SPY,2024-06-27,461.00,put,0.00,0.01,0.00,0,0.04,150,0,496,2024-06-27,1.07514,-0.00115,0.00012,-0.05852,0.00109,-0.00002
SPY240627P00462000,SPY,2024-06-27,462.00,put,0.00,0.01,0.00,0,0.04,150,0,0,2024-06-27,1.06264,-0.00116,0.00013,-0.05850,0.00110,-0.00002
SPY240627P00463000,SPY,2024-06-27,463.00,put,0.00,0.01,0.00,0,0.04,150,0,5,2024-06-27,1.04999,-0.00117,0.00013,-0.05838,0.00111,-0.00002
SPY240627P00464000,SPY,2024-06-27,464.00,put,0.00,0.01,0.00,0,0.04,150,0,0,2024-06-27,1.03734,-0.00119,0.00013,-0.05826,0.00113,-0.00002
SPY240627P00465000,SPY,2024-06-27,465.00,put,0.00,0.01,0.00,0,0.04,150,0,4,2024-06-27,1.02469,-0.00120,0.00014,-0.05812,0.00114,-0.00002
SPY240627P00466000,SPY,2024-06-27,466.00,put,0.00,0.01,0.00,0,0.04,150,0,1,2024-06-27,1.01219,-0.00121,0.00014,-0.05806,0.00115,-0.00002
SPY240627P00467000,SPY,2024-06-27,467.00,put,0.00,0.01,0.00,0,0.04,150,0,0,2024-06-27,0.99969,-0.00123,0.00014,-0.05799,0.00116,-0.00002
SPY240627P00468000,SPY,2024-06-27,468.00,put,0.01,0.01,0.00,0,0.04,150,10,0,2024-06-27,0.98703,-0.00124,0.00015,-0.05782,0.00117,-0.00002
SPY240627P00469000,SPY,2024-06-27,469.00,put,0.00,0.01,0.00,0,0.04,150,0,19,2024-06-27,0.97453,-0.00126,0.00015,-0.05773,0.00119,-0.00002
SPY240627P00470000,SPY,2024-06-27,470.00,put,0.00,0.01,0.00,0,0.04,150,0,56,2024-06-27,0.96203,-0.00127,0.00015,-0.05763,0.00120,-0.00002
SPY240627P00471000,SPY,2024-06-27,471.00,put,0.00,0.01,0.00,0,0.04,150,0,65,2024-06-27,0.94953,-0.00129,0.00016,-0.05752,0.00121,-0.00002
SPY240627P00472000,SPY,2024-06-27,472.00,put,0.00,0.01,0.00,0,0.04,150,0,0,2024-06-27,0.93719,-0.00131,0.00016,-0.05748,0.00123,-0.00002
SPY240627P00473000,SPY,2024-06-27,473.00,put,0.00,0.01,0.00,0,0.04,150,0,2,2024-06-27,0.92469,-0.00132,0.00016,-0.05735,0.00124,-0.00002
SPY240627P00474000,SPY,2024-06-27,474.00,put,0.00,0.01,0.00,0,0.04,150,0,7,2024-06-27,0.91219,-0.00134,0.00017,-0.05720,0.00126,-0.00002
SPY240627P00475000,SPY,2024-06-27,475.00,put,0.00,0.01,0.00,0,0.04,150,0,2,2024-06-27,0.89984,-0.00136,0.00017,-0.05714,0.00127,-0.00002
SPY240627P00476000,SPY,2024-06-27,476.00,put,0.00,0.01,0.00,0,0.04,150,0,504,2024-06-27,0.88734,-0.00137,0.00018,-0.05698,0.00129,-0.00002
SPY240627P00477000,SPY,2024-06-27,477.00,put,0.00,0.01,0.00,0,0.04,150,0,56,2024-06-27,0.87499,-0.00139,0.00018,-0.05689,0.00130,-0.00002
SPY240627P00478000,SPY,2024-06-27,478.00,put,0.00,0.01,0.00,0,0.04,150,0,120,2024-06-27,0.86265,-0.00141,0.00019,-0.05680,0.00132,-0.00002
