timestamp,open,high,low,close,volume,candle,rsi
3/1/2025,140.01,144.9,139.73,144.47,229322478,TRUE,57.14285714
2/1/2025,136,138.88,134.63,138.31,198247166,TRUE,57.14285714
31/12/2024,138.03,138.07,133.83,134.29,155659211,FALSE,57.14285714
30/12/2024,134.83,140.27,134.02,137.49,167734700,TRUE,57.14285714
27/12/2024,138.55,139.02,134.71,137.01,170582603,FALSE,50
26/12/2024,139.7,140.85,137.73,139.93,116519090,TRUE,50
24/12/2024,140,141.9,138.65,140.22,105156989,TRUE,42.85714286
23/12/2024,136.28,139.79,135.1201,139.67,176053506,TRUE,42.85714286
20/12/2024,129.81,135.28,128.22,134.7,306528553,TRUE,42.85714286
19/12/2024,131.76,134.03,129.55,130.68,209719210,FALSE,35.71428571
18/12/2024,133.86,136.7,128.28,128.91,277444533,FALSE,42.85714286
17/12/2024,129.09,131.59,126.86,130.39,259410263,TRUE,50
16/12/2024,134.18,134.4,130.42,132,237951130,FALSE,42.85714286
13/12/2024,138.94,139.6,132.54,134.25,231514881,FALSE,42.85714286
12/12/2024,137.08,138.44,135.8,137.34,159211393,TRUE,42.85714286
11/12/2024,137.36,140.17,135.21,139.31,184905192,TRUE,35.71428571
10/12/2024,139.01,141.82,133.79,135.07,210020888,FALSE,28.57142857
9/12/2024,138.97,139.95,137.13,138.81,189308625,FALSE,35.71428571
6/12/2024,144.6,145.7,141.31,142.44,188505573,FALSE,42.85714286
5/12/2024,145.11,146.54,143.95,145.06,172621180,FALSE,42.85714286
4/12/2024,141.995,145.79,140.29,145.14,231224295,TRUE,42.85714286
3/12/2024,138.26,140.54,137.95,140.26,164413965,TRUE,35.71428571
2/12/2024,138.83,140.45,137.825,138.63,171682777,FALSE,35.71428571
29/11/2024,136.78,139.35,136.05,138.25,141863156,TRUE,35.71428571
27/11/2024,135.01,137.22,131.8,135.34,226370912,TRUE,28.57142857
26/11/2024,137.7,139.3,135.67,136.92,190287654,FALSE,28.57142857
25/11/2024,141.99,142.05,135.82,136.02,344941875,FALSE,35.71428571
